Datetime,MC_PM25
2024-10-11 00:10:14,24
2024-10-11 00:10:37,24
2024-10-11 00:10:50,24
2024-10-11 00:11:12,24
2024-10-11 00:11:35,24
2024-10-11 00:11:49,24
2024-10-11 00:12:02,24
2024-10-11 00:12:19,24
2024-10-11 00:12:32,24
2024-10-11 00:12:46,24
2024-10-11 00:13:18,24
2024-10-11 00:13:47,24
2024-10-11 00:14:03,24
2024-10-11 00:14:18,24
2024-10-11 00:14:32,24
2024-10-11 00:14:47,24
2024-10-11 00:15:09,24
2024-10-11 00:15:22,24
2024-10-11 00:15:46,24
2024-10-11 00:16:01,24
2024-10-11 00:16:17,24
2024-10-11 00:16:33,24
2024-10-11 00:16:49,24
2024-10-11 00:17:23,24
2024-10-11 00:17:40,24
2024-10-11 00:18:05,24
2024-10-11 00:18:22,24
2024-10-11 00:18:37,24
2024-10-11 00:18:53,24
2024-10-11 00:19:09,24
2024-10-11 00:19:34,24
2024-10-11 00:20:00,24
2024-10-11 00:20:23,24
2024-10-11 00:20:49,24
2024-10-11 00:21:03,24
2024-10-11 00:21:30,24
2024-10-11 00:21:44,24
2024-10-11 00:22:11,24
2024-10-11 00:22:37,24
2024-10-11 00:23:22,24
2024-10-11 00:23:54,24
2024-10-11 00:24:09,24
2024-10-11 00:24:30,24
2024-10-11 00:24:46,24
2024-10-11 00:25:24,24
2024-10-11 00:25:41,24
2024-10-11 00:26:05,24
2024-10-11 00:26:20,24
2024-10-11 00:26:44,24
2024-10-11 00:27:14,24
2024-10-11 00:27:30,24
2024-10-11 00:27:44,24
2024-10-11 00:28:00,24
2024-10-11 00:28:24,24
2024-10-11 00:28:56,24
2024-10-11 00:29:11,24
2024-10-11 00:29:32,24
2024-10-11 00:29:50,24
2024-10-11 00:30:06,24
2024-10-11 00:30:36,24
2024-10-11 00:30:51,24
2024-10-11 00:31:07,24
2024-10-11 00:31:30,24
2024-10-11 00:31:46,24
2024-10-11 00:32:01,24
2024-10-11 00:32:14,24
2024-10-11 00:32:34,24
2024-10-11 00:32:45,24
2024-10-11 00:33:12,24
2024-10-11 00:33:39,24
2024-10-11 00:32:14,24
2024-10-11 00:34:06,24
2024-10-11 00:34:21,24
2024-10-11 00:34:36,24
2024-10-11 00:34:51,24
2024-10-11 00:35:16,24
2024-10-11 00:35:32,24
2024-10-11 00:35:56,22
2024-10-11 00:36:11,22
2024-10-11 00:36:47,23
2024-10-11 00:37:17,23
2024-10-11 00:37:45,23
2024-10-11 00:38:09,23
2024-10-11 00:38:46,23
2024-10-11 00:39:01,23
2024-10-11 00:39:16,23
2024-10-11 00:39:48,23
2024-10-11 00:40:03,23
2024-10-11 00:40:33,23
2024-10-11 00:40:58,23
2024-10-11 00:41:14,23
2024-10-11 00:41:28,23
2024-10-11 00:41:44,23
2024-10-11 00:42:06,23
2024-10-11 00:42:34,23
2024-10-11 00:42:47,23
2024-10-11 00:43:21,23
2024-10-11 00:43:54,23
2024-10-11 00:44:20,23
2024-10-11 00:44:34,23
2024-10-11 00:44:48,23
2024-10-11 00:45:12,23
2024-10-11 00:45:27,23
2024-10-11 00:45:51,23
2024-10-11 00:46:06,23
2024-10-11 00:46:29,23
2024-10-11 00:46:45,23
2024-10-11 00:47:15,23
2024-10-11 00:47:39,23
2024-10-11 00:48:02,23
2024-10-11 00:48:18,23
2024-10-11 00:48:41,23
2024-10-11 00:49:16,23
2024-10-11 00:49:29,23
2024-10-11 00:49:54,23
2024-10-11 00:50:13,23
2024-10-11 00:50:36,23
2024-10-11 00:50:52,23
2024-10-11 00:51:04,23
2024-10-11 00:51:16,23
2024-10-11 00:51:30,23
2024-10-11 00:51:40,23
2024-10-11 00:52:05,23
2024-10-11 00:52:17,23
2024-10-11 00:52:29,23
2024-10-11 00:52:41,23
2024-10-11 00:53:01,23
2024-10-11 00:53:23,23
2024-10-11 00:54:02,23
2024-10-11 00:54:22,23
2024-10-11 00:54:34,23
2024-10-11 00:54:47,23
2024-10-11 00:55:13,23
2024-10-11 00:55:24,23
2024-10-11 00:55:38,23
2024-10-11 00:55:51,23
2024-10-11 00:56:04,23
2024-10-11 00:56:39,23
2024-10-11 00:56:51,23
2024-10-11 00:57:11,23
2024-10-11 00:57:23,23
2024-10-11 00:57:38,23
2024-10-11 00:57:50,23
2024-10-11 00:58:02,23
2024-10-11 00:58:15,23
2024-10-11 00:58:36,23
2024-10-11 00:58:56,23
2024-10-11 00:59:10,23
2024-10-11 00:59:22,23
2024-10-11 00:59:33,23
2024-10-11 00:59:57,23
2024-10-11 01:00:10,23
2024-10-11 01:00:51,23
2024-10-11 01:01:00,23
2024-10-11 01:01:15,23
2024-10-11 01:01:36,23
2024-10-11 01:02:17,23
2024-10-11 01:02:29,23
2024-10-11 01:02:49,23
2024-10-11 01:03:27,23
2024-10-11 01:03:45,23
2024-10-11 01:04:15,23
2024-10-11 01:04:34,23
2024-10-11 01:04:48,21
2024-10-11 01:05:47,17
2024-10-11 01:05:45,17
2024-10-11 01:05:50,17
2024-10-11 01:05:49,17
2024-10-11 01:06:33,17
2024-10-11 01:06:34,17
2024-10-11 01:06:35,17
2024-10-11 01:07:18,17
2024-10-11 01:07:44,17
2024-10-11 01:07:59,17
2024-10-11 01:08:21,17
2024-10-11 01:08:37,17
2024-10-11 01:08:49,17
2024-10-11 01:09:14,17
2024-10-11 01:09:38,17
2024-10-11 01:09:51,17
2024-10-11 01:10:05,17
2024-10-11 01:10:29,17
2024-10-11 01:10:56,17
2024-10-11 01:11:30,17
2024-10-11 01:11:46,17
2024-10-11 01:12:02,17
2024-10-11 01:12:18,17
2024-10-11 01:12:45,17
2024-10-11 01:13:00,17
2024-10-11 01:13:23,17
2024-10-11 01:13:46,17
2024-10-11 01:14:03,17
2024-10-11 01:14:16,17
2024-10-11 01:14:33,17
2024-10-11 01:14:48,17
2024-10-11 01:15:05,17
2024-10-11 01:15:17,17
2024-10-11 01:15:36,17
2024-10-11 01:16:02,17
2024-10-11 01:16:15,17
2024-10-11 01:16:30,17
2024-10-11 01:16:47,17
2024-10-11 01:17:17,17
2024-10-11 01:17:40,17
2024-10-11 01:17:53,17
2024-10-11 01:18:10,17
2024-10-11 01:18:33,17
2024-10-11 01:18:49,17
2024-10-11 01:19:05,17
2024-10-11 01:19:22,18
2024-10-11 01:19:48,17
2024-10-11 01:20:06,17
2024-10-11 01:20:37,17
2024-10-11 01:20:56,17
2024-10-11 01:21:40,17
2024-10-11 01:21:59,17
2024-10-11 01:22:42,17
2024-10-11 01:22:58,17
2024-10-11 01:23:21,17
2024-10-11 01:23:44,17
2024-10-11 01:24:00,17
2024-10-11 01:24:15,17
2024-10-11 01:24:29,17
2024-10-11 01:24:56,17
2024-10-11 01:25:18,17
2024-10-11 01:25:29,17
2024-10-11 01:25:47,17
2024-10-11 01:26:01,17
2024-10-11 01:27:01,17
2024-10-11 01:27:13,17
2024-10-11 01:28:12,17
2024-10-11 01:28:35,17
2024-10-11 01:28:46,17
2024-10-11 01:29:03,17
2024-10-11 01:29:24,17
2024-10-11 01:29:40,17
2024-10-11 01:29:53,17
2024-10-11 01:30:17,17
2024-10-11 01:30:32,17
2024-10-11 01:30:46,17
2024-10-11 01:31:11,17
2024-10-11 01:31:20,17
2024-10-11 01:31:49,17
2024-10-11 01:32:05,17
2024-10-11 01:32:59,17
2024-10-11 01:33:26,17
2024-10-11 01:33:47,17
2024-10-11 01:34:03,17
2024-10-11 01:34:20,17
2024-10-11 01:34:36,17
2024-10-11 01:34:52,17
2024-10-11 01:35:08,17
2024-10-11 01:35:23,17
2024-10-11 01:35:40,17
2024-10-11 01:35:54,17
2024-10-11 01:36:08,17
2024-10-11 01:36:32,17
2024-10-11 01:36:54,17
2024-10-11 01:37:18,17
2024-10-11 01:37:43,17
2024-10-11 01:37:59,17
2024-10-11 01:38:20,17
2024-10-11 01:38:34,17
2024-10-11 01:38:47,17
2024-10-11 01:39:01,17
2024-10-11 01:39:17,17
2024-10-11 01:39:31,17
2024-10-11 01:39:45,17
2024-10-11 01:39:59,17
2024-10-11 01:40:17,17
2024-10-11 01:40:52,17
2024-10-11 01:41:15,17
2024-10-11 01:41:37,17
2024-10-11 01:42:01,17
2024-10-11 01:42:24,17
2024-10-11 01:42:37,17
2024-10-11 01:43:00,17
2024-10-11 01:43:11,17
2024-10-11 01:43:42,17
2024-10-11 01:43:57,17
2024-10-11 01:44:20,17
2024-10-11 01:44:32,17
2024-10-11 01:44:56,17
2024-10-11 01:45:12,17
2024-10-11 01:45:36,17
2024-10-11 01:46:02,17
2024-10-11 01:46:26,17
2024-10-11 01:46:50,17
