Datetime,MC_PM25
2024-10-11 00:10:05,21
2024-10-11 00:10:11,20
2024-10-11 00:10:29,20
2024-10-11 00:10:34,20
2024-10-11 00:10:42,20
2024-10-11 00:10:48,20
2024-10-11 00:10:56,20
2024-10-11 00:11:10,20
2024-10-11 00:11:18,20
2024-10-11 00:11:22,20
2024-10-11 00:11:41,20
2024-10-11 00:11:47,20
2024-10-11 00:11:56,21
2024-10-11 00:12:02,21
2024-10-11 00:12:10,21
2024-10-11 00:12:16,21
2024-10-11 00:12:24,20
2024-10-11 00:12:30,21
2024-10-11 00:12:38,21
2024-10-11 00:12:44,21
2024-10-11 00:12:52,21
2024-10-11 00:13:18,21
2024-10-11 00:13:34,21
2024-10-11 00:13:46,21
2024-10-11 00:13:55,21
2024-10-11 00:13:59,21
2024-10-11 00:14:09,20
2024-10-11 00:14:16,20
2024-10-11 00:14:24,20
2024-10-11 00:14:30,20
2024-10-11 00:14:39,20
2024-10-11 00:14:45,20
2024-10-11 00:14:52,21
2024-10-11 00:14:57,21
2024-10-11 00:15:20,21
2024-10-11 00:15:37,21
2024-10-11 00:15:44,21
2024-10-11 00:15:53,21
2024-10-11 00:15:59,20
2024-10-11 00:16:06,20
2024-10-11 00:16:15,19
2024-10-11 00:16:25,19
2024-10-11 00:16:31,20
2024-10-11 00:16:39,20
2024-10-11 00:16:44,20
2024-10-11 00:16:56,20
2024-10-11 00:17:08,20
2024-10-11 00:17:31,20
2024-10-11 00:17:37,21
2024-10-11 00:17:57,21
2024-10-11 00:18:02,20
2024-10-11 00:18:10,20
2024-10-11 00:18:20,21
2024-10-11 00:18:28,21
2024-10-11 00:18:35,21
2024-10-11 00:18:44,21
2024-10-11 00:18:51,21
2024-10-11 00:19:00,21
2024-10-11 00:19:07,21
2024-10-11 00:19:14,21
2024-10-11 00:19:32,21
2024-10-11 00:19:41,21
2024-10-11 00:19:58,21
2024-10-11 00:20:08,20
2024-10-11 00:20:21,20
2024-10-11 00:20:40,20
2024-10-11 00:20:47,20
2024-10-11 00:20:55,20
2024-10-11 00:21:02,20
2024-10-11 00:21:09,21
2024-10-11 00:21:16,21
2024-10-11 00:21:35,21
2024-10-11 00:21:44,21
2024-10-11 00:22:01,20
2024-10-11 00:22:09,19
2024-10-11 00:22:28,19
2024-10-11 00:22:35,20
2024-10-11 00:22:54,20
2024-10-11 00:23:20,20
2024-10-11 00:23:44,21
2024-10-11 00:23:51,20
2024-10-11 00:24:00,20
2024-10-11 00:24:07,20
2024-10-11 00:24:14,20
2024-10-11 00:24:30,19
2024-10-11 00:24:39,19
2024-10-11 00:24:46,19
2024-10-11 00:25:06,19
2024-10-11 00:25:22,19
2024-10-11 00:25:29,20
2024-10-11 00:25:38,20
2024-10-11 00:25:47,21
2024-10-11 00:26:03,21
2024-10-11 00:26:12,21
2024-10-11 00:26:26,21
2024-10-11 00:26:41,21
2024-10-11 00:27:05,20
2024-10-11 00:27:12,20
2024-10-11 00:27:19,20
2024-10-11 00:27:27,20
2024-10-11 00:27:35,20
2024-10-11 00:27:42,20
2024-10-11 00:27:51,20
2024-10-11 00:27:57,20
2024-10-11 00:28:04,20
2024-10-11 00:28:23,20
2024-10-11 00:28:40,20
2024-10-11 00:28:45,19
2024-10-11 00:29:03,19
2024-10-11 00:29:07,19
2024-10-11 00:29:18,20
2024-10-11 00:29:32,20
2024-10-11 00:29:40,20
2024-10-11 00:29:46,20
2024-10-11 00:29:57,20
2024-10-11 00:30:04,20
2024-10-11 00:30:18,20
2024-10-11 00:30:34,20
2024-10-11 00:30:43,20
2024-10-11 00:30:49,21
2024-10-11 00:30:58,21
2024-10-11 00:31:04,22
2024-10-11 00:31:11,22
2024-10-11 00:31:28,21
2024-10-11 00:31:37,21
2024-10-11 00:31:44,20
2024-10-11 00:31:50,20
2024-10-11 00:31:57,20
2024-10-11 00:32:06,19
2024-10-11 00:32:14,19
2024-10-11 00:32:25,19
2024-10-11 00:32:32,19
2024-10-11 00:32:41,20
2024-10-11 00:32:45,20
2024-10-11 00:32:52,20
2024-10-11 00:33:10,20
2024-10-11 00:33:18,20
2024-10-11 00:33:38,20
2024-10-11 00:33:53,20
2024-10-11 00:34:04,20
2024-10-11 00:34:13,19
2024-10-11 00:34:17,19
2024-10-11 00:34:27,20
2024-10-11 00:34:32,20
2024-10-11 00:34:42,20
2024-10-11 00:34:48,20
2024-10-11 00:35:07,20
2024-10-11 00:35:12,20
2024-10-11 00:35:23,19
2024-10-11 00:35:29,19
2024-10-11 00:35:38,18
2024-10-11 00:35:53,18
2024-10-11 00:36:00,19
2024-10-11 00:36:09,19
2024-10-11 00:36:27,19
2024-10-11 00:36:45,19
2024-10-11 00:36:52,19
2024-10-11 00:37:17,19
2024-10-11 00:37:35,20
2024-10-11 00:37:41,20
2024-10-11 00:37:52,21
2024-10-11 00:38:08,20
2024-10-11 00:38:16,20
2024-10-11 00:38:31,20
2024-10-11 00:38:52,20
2024-10-11 00:38:59,20
2024-10-11 00:39:08,20
2024-10-11 00:39:15,19
2024-10-11 00:39:32,19
2024-10-11 00:39:45,20
2024-10-11 00:39:54,20
2024-10-11 00:40:01,20
2024-10-11 00:40:19,20
2024-10-11 00:40:30,20
2024-10-11 00:40:38,20
2024-10-11 00:40:56,20
2024-10-11 00:41:05,20
2024-10-11 00:41:11,20
2024-10-11 00:41:20,20
2024-10-11 00:41:26,19
2024-10-11 00:41:35,19
2024-10-11 00:41:41,19
2024-10-11 00:41:59,19
2024-10-11 00:42:06,19
2024-10-11 00:42:12,19
2024-10-11 00:42:30,19
2024-10-11 00:42:40,19
2024-10-11 00:42:46,19
2024-10-11 00:42:53,19
2024-10-11 00:43:08,19
2024-10-11 00:43:27,19
2024-10-11 00:43:32,19
2024-10-11 00:44:12,19
2024-10-11 00:44:18,19
2024-10-11 00:44:26,19
2024-10-11 00:44:32,19
2024-10-11 00:44:41,19
2024-10-11 00:44:47,19
2024-10-11 00:44:56,19
2024-10-11 00:45:01,19
2024-10-11 00:45:18,19
2024-10-11 00:45:25,19
2024-10-11 00:45:43,20
2024-10-11 00:45:49,20
2024-10-11 00:45:57,20
2024-10-11 00:46:04,20
2024-10-11 00:46:12,20
2024-10-11 00:46:17,21
2024-10-11 00:46:36,20
2024-10-11 00:46:43,20
2024-10-11 00:46:51,20
2024-10-11 00:47:13,20
2024-10-11 00:47:21,20
2024-10-11 00:47:26,20
2024-10-11 00:47:54,20
2024-10-11 00:48:02,20
2024-10-11 00:48:10,20
2024-10-11 00:48:18,20
2024-10-11 00:48:35,20
2024-10-11 00:48:41,20
2024-10-11 00:48:58,20
2024-10-11 00:49:12,20
2024-10-11 00:49:23,20
2024-10-11 00:49:29,20
2024-10-11 00:49:45,20
2024-10-11 00:49:52,19
2024-10-11 00:50:07,19
2024-10-11 00:50:13,19
2024-10-11 00:50:28,19
2024-10-11 00:50:34,19
2024-10-11 00:50:43,19
2024-10-11 00:50:49,19
2024-10-11 00:50:58,19
2024-10-11 00:51:02,19
2024-10-11 00:51:08,19
2024-10-11 00:51:15,19
2024-10-11 00:51:23,19
2024-10-11 00:51:28,19
2024-10-11 00:51:36,19
2024-10-11 00:51:40,19
2024-10-11 00:51:47,19
2024-10-11 00:52:03,19
2024-10-11 00:52:11,19
2024-10-11 00:52:15,19
2024-10-11 00:52:23,19
2024-10-11 00:52:27,18
2024-10-11 00:52:35,19
2024-10-11 00:52:39,19
2024-10-11 00:52:59,20
2024-10-11 00:52:47,20
